Fuel Type Code,Station Name,Street Address,City,State,Status Code,Groups With Access Code,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,ID,Updated At,Open Date,EV Connector Types,Country,Access Code,Facility Type,EV Pricing,Restricted Access
ELEC,ABM Parking 750 Lexington Ave LLC - Tesla Destination,118 E 60th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.762806,-73.9687,115004,2021-03-11 23:22:17 UTC,2018-11-01,TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 12 East 9th Street - Tesla Destination,12 E 9th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.732324,-73.99517,115005,2021-03-11 23:22:17 UTC,2016-01-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,MPG 121 Reade Street - Tesla Destination,121 Reade St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.716208,-74.009488,115006,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,GMC Parking Narragansett - Tesla Destination,124 E 63rd St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.764767,-73.967021,115007,2021-03-11 23:22:17 UTC,2017-09-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Rapidpark 124 W 20th Street - Tesla Destination,124  W 20th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.741371,-73.995533,115008,2021-03-11 23:22:17 UTC,2017-09-01,J1772 TESLA,US,public,HOTEL,Free,False
ELEC,Quik Park Garden Lots LLC - Tesla Destination,126 West 32nd St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.748789,-73.989915,115009,2021-03-11 23:22:17 UTC,2016-01-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,ABM Parking 13 East 54th Street LLC - Tesla Destination,13-17 E 54th St,New York,NY,E,Public,2.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.761051,-73.974877,115010,2021-03-11 23:22:17 UTC,2017-03-01,TESLA,US,public,PAY_GARAGE,Free,False
ELEC,New York Hilton Midtown - Tesla Destination,1335 Avenue of the Americas,New York,NY,E,Public,4.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.762445,-73.97971,115011,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,HOTEL,Free,False
ELEC,1345 Parking Garage - Tesla Destination,1345 6th Ave,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,GPS,40.76351,-73.979364,115012,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 1350 Avenue of the Americas - Tesla Destination,1350 6th Ave,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.762653,-73.977846,115013,2021-03-11 23:22:17 UTC,2016-01-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 14-26 William Street - Tesla Destination,14-26 William St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.704976,-74.009682,115014,2021-03-11 23:22:17 UTC,2016-05-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking OMNI - Tesla Destination,143-159 W 68th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.775545,-73.9818,115015,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Rapidpark 148 E 33rd Street - Tesla Destination,148 E 33rd St,New York,NY,E,Public - Call ahead,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.745236,-73.979736,115016,2021-03-11 23:22:17 UTC,2017-09-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Rapidpark 15 W 72nd Street - Tesla Destination,15 W 72nd St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.777008,-73.97689,115017,2021-03-11 23:22:17 UTC,2017-09-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 150 Charles Street - Tesla Destination,150 Charles St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.733633,-74.009239,115018,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 150 E 58th Street - Tesla Destination,150 E 58th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.76161,-73.96775,115019,2021-03-11 23:22:17 UTC,2016-05-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Rapidpark 150 East 77th Street - Tesla Destination,150 E 77th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.773472,-73.95992,115020,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Standard Parking 151 W 17th Street - Tesla Destination,151 W 17th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.740728,-73.997493,115021,2021-03-11 23:22:17 UTC,2017-09-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 155 E 29th Street - Tesla Destination,155 E 29th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.742968,-73.980565,115022,2021-03-11 23:22:17 UTC,2016-05-01,J1772 TESLA,US,public,HOTEL,Free,False
ELEC,City Parking Garment One Garage - Tesla Destination,155 E 34th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.7462,-73.978528,115023,2021-03-11 23:22:17 UTC,2017-09-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Prime Parking Systems - 155 E 68th Street - Tesla Destination,155 E 68th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.768032,-73.963983,115024,2021-03-11 23:22:17 UTC,2016-01-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Champion Parking W 53rd Street - Tesla Destination,159 W 53rd St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.763,-73.981278,115025,2021-03-11 23:22:17 UTC,2016-01-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 16 W 16th Street - Tesla Destination,16 W 16th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.737595,-73.993837,115026,2021-03-11 23:22:17 UTC,2016-01-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,GGMC Parking Alfred - Tesla Destination,161 W 61st St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.771561,-73.985834,115027,2021-03-11 23:22:17 UTC,2017-03-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,iPark NYC E 77th Street - Tesla Destination,165 E 77th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.77364,-73.959302,115028,2021-03-11 23:22:17 UTC,2016-03-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
