ID,SiteID,ObservationTimeUTC,Value
562757,36061NY08454,2024-06-02 22:00:00.000,17.85
562758,36081NY08198,2024-06-02 22:00:00.000,11.55
562759,36005NY11534,2024-06-02 22:00:00.000,14.27
562760,36061NY08653,2024-06-02 22:00:00.000,15.0
562761,36081NY07615,2024-06-02 22:00:00.000,11.84
562762,36061NY12380,2024-06-02 22:00:00.000,20.08
562773,36061NY09734,2024-06-02 22:00:00.000,17.21
562774,36085NY04805,2024-06-02 22:00:00.000,18.94
562775,36061NY08552,2024-06-02 23:00:00.000,16.62
562776,36005NY12387,2024-06-02 23:00:00.000,16.99
562777,36061NY08454,2024-06-02 23:00:00.000,18.66
562778,36081NY08198,2024-06-02 23:00:00.000,10.18
562779,36005NY11534,2024-06-02 23:00:00.000,15.34
562780,36061NY08653,2024-06-02 23:00:00.000,16.59
562781,36081NY07615,2024-06-02 23:00:00.000,13.18
562782,36061NY12380,2024-06-02 23:00:00.000,21.92
562793,36061NY09734,2024-06-02 23:00:00.000,19.42
562794,36085NY04805,2024-06-02 23:00:00.000,15.64
